Meses,ROI 60 Dias 2014,ROI 60 Dias 2015,ROI 60 Dias 2016,ROI 60 Dias 2017,ROI 60 Dias 2018,ROI 60 Dias 2019,ROI 60 Dias 2020,ROI 60 Dias M̩dio
Jan,-26.882798864198815,-10.626958648628039,-0.7034553561357667,26.45468663894596,-22.946962229235666,3.3370703056006685,18.87152440219563,-1.7852705359222896
Fev,-47.44690818238601,11.522223258350547,12.320201810581587,11.30125414408315,-32.40816996780315,20.815560079730968,-31.009198298301577,-7.843576736534926
Mar,-20.55189159272286,-8.33763084116682,3.8324319437328587,9.972417909124843,-9.868262737740697,36.27593671604801,2.238295475192565,1.9373281246382703
Abr,29.61747907894509,-6.928159399940424,27.510953704103652,114.61147769229854,5.814483664520098,102.530694183564,50.4694664387776,46.23234219460981
Mai,40.13781410455438,12.746406814882475,48.39325485205213,76.84421386567526,-32.78833034240326,126.20440365376591,6.672338140937893,39.74430015563782
Jun,-8.900812756653524,27.027966041229888,15.686719399760808,17.870493770770146,9.728390709133091,11.57686613816393,17.422119369818628,12.915963238888995
Jul,-22.114809724584,-11.43220851724505,-14.996089772911702,86.64514113421279,10.68482740383562,-12.885224428925742,25.484488243306163,8.769446333955441
Ago,-34.77457738641897,-15.90839945935431,0.41444695557725414,56.981810554081136,-14.630899892216345,-19.861035873832837,-4.309149444825026,-4.583972078141299
Set,-29.26149052041097,37.468761431764236,22.216326387795412,30.956175862292113,-9.901621810062744,-4.532129493240594,15.97668253395596,8.988957770299058
Out,-1.1612124076188834,59.111501086500205,20.893551055384858,139.35593480735318,-35.41426081614943,-6.654654682356115,68.69514781217866,34.97514383647035
Nov,-2.0363526591296837,32.65933757562765,32.551061892507015,120.99861685555844,-40.16183901466002,-20.88540555470271,109.28983899460569,33.2021797271152
Dez,-42.54818980260297,3.7064245425781044,22.300648144194255,0.9047802586896596,-14.871826975745062,22.76873623617017,74.15426925437167,9.48783452252226
