Meses,ROI 60 Dias 2018,ROI 60 Dias 2019,ROI 60 Dias 2020,ROI 60 Dias M̩dio
Jan,-59.86974661262724,5.853569602823394,43.91187660791164,-2.5260751004730526
Fev,-69.63837217492834,89.56008100128369,-44.0739428216536,-6.038058498824562
Mar,18.7190241342533,50.168527786683036,8.689841465113428,19.39434834651244
Abr,36.31716836395123,21.310639326914004,149.54512420107312,51.79323297298459
Mai,-63.328134940624004,29.882936388219704,74.5076556964239,10.2656142860049
Jun,-31.4208083070915,-33.36544651351089,89.25246519979109,6.116552594797175
Jul,-23.576191060275097,-46.454867310552444,40.30496262223785,-7.431523937147422
Ago,-40.878268079545734,-41.66234262141749,-27.21946676262498,-27.44001936589705
Set,-31.53097412263629,-6.9829223768090865,-23.70172715610312,-15.553905913887125
Out,-50.87176355308989,6.165918873303766,64.68872448596763,4.995719951545375
Nov,-39.33095500473136,-19.239188051540054,98.65817272852705,10.02200741806391
Dez,-2.788867804758748,31.69833179862389,103.82316634661657,33.183157585120426
