Meses,ROI 90 Dias 2016,ROI 90 Dias 2017,ROI 90 Dias 2018,ROI 90 Dias 2019,ROI 90 Dias 2020,ROI 90 Dias M̩dio
Jan,1099.8806342520734,525.2585333671018,-49.00059111454615,7.704064081986983,2.459511235968339,317.2604303645169
Fev,297.52111775832464,622.7933871016479,-39.86051627484667,49.98619534429798,14.688965682668053,189.02582992241838
Mar,67.70063089540089,1244.3497900912444,-33.629046465782785,98.37951140882356,0.9813723566847966,275.5564516572742
Abr,14.605916200421973,464.57439099603226,9.27518322533777,127.02238626611435,71.27878232996959,137.3513318035752
Mai,42.05657058787056,156.61518779671707,-29.62182130232682,31.154263376505764,54.47812983219592,50.9364660581925
Jun,-19.101402783636527,70.81081246681764,-49.537925741081054,-37.04484445864076,71.89894530222493,7.405116957136846
Jul,6.220868342625061,9.767110529289019,-50.55309670580191,-40.55444147990053,57.110315586239814,-3.6018487455097103
Ago,1.9889806110850048,34.863791081664694,-54.72386928861337,-12.857018393662937,11.688467372317955,-3.807929723441731
Set,-27.93266394935774,17.553809571559402,-58.29350854705664,-10.354713759883975,31.91653042841604,-9.422109251264581
Out,-38.553936015085156,145.90288292776017,-40.392885597116624,-25.274939968518318,104.55866933890701,29.24795813718942
Nov,-2.054968776008818,297.4639968005281,-47.34275717946565,-4.95131640162492,257.7306250262296,100.16911589393166
Dez,103.4178455877602,80.13002682596935,19.477283115003356,50.0668948135323,131.38091556746875,76.89459318194679
