,Meses,ROI 90 Dias 2014,ROI 90 Dias 2015,ROI 90 Dias 2016,ROI 90 Dias 2017,ROI 90 Dias 2018,ROI 90 Dias 2019,ROI 90 Dias 2020,ROI 90 Dias M̩dio
1,Jan,-37.64603902362779,-19.634576677112808,-4.387618633280143,8.737337808726993,-50.50752161673765,11.130308996186827,-11.007584707366012,-14.759384836172941
2,Fev,-46.73120165281314,3.9274370364215745,21.978972674178863,46.1873738994609,-10.777676642840198,56.02199118590082,-7.492694078329882,9.016314631711278
3,Mar,10.897270179071967,-9.410009409892993,23.843281073600263,76.5934137206396,-27.984225961399368,126.71821360529269,10.220184343654836,30.125446792995284
4,Abr,33.22191034648285,6.334026457317609,61.154062108581975,129.50901660538239,-11.368993056142033,191.7629399827043,43.033134481471755,64.80658527511413
5,Mai,23.22610869511236,23.243202831654035,44.62230448296474,94.56376300195393,-10.878183506375377,79.68913260137488,28.83615674028142,40.471783549566574
6,Jun,-21.655731669045476,2.126744934796961,6.846103626328001,86.93508496309596,-5.541672262342303,10.605557096822917,21.27947791908485,14.370794944105842
7,Jul,-42.06110865227081,-7.875395427986483,-10.782266751265274,69.29176326202621,4.21372056074036,-24.457779586212162,16.63773552945484,0.7095241334980977
8,Ago,-42.13041772145115,16.066610284095464,15.110328644806877,122.96988242936457,-18.6812458962139,-6.517272943231229,18.6863038295418,15.07202694670178
9,Set,-20.87932411416086,66.5169211020628,29.876100001749457,113.97850382570869,-39.105006759646706,-19.635343551599476,55.66697811352971,26.631261231091944
10,Out,-18.592000420063254,79.53164815732421,56.48718052227002,213.28614621917617,-42.979591047886785,-10.60610230330255,154.617408454301,61.67781279740269
11,Nov,-32.70393544219129,15.976727176950236,26.300717340427205,65.23543347484909,-46.38722254921345,1.3666042802266993,147.85337755245973,25.377385976215464
12,Dez,-28.86183789253446,20.21433484660892,62.99966788164083,-5.902827757968277,-4.840324130763189,15.36358869897025,129.3282046607662,26.900115186674327
