,Meses,ROI 30 Dias 2016,ROI 30 Dias 2017,ROI 30 Dias 2018,ROI 30 Dias 2019,ROI 30 Dias 2020,ROI 30 Dias M̩dio
1,Jan,142.91811737319657,32.39399956251756,36.33847059117889,-17.63719376319428,42.99201731908801,47.40108221655735
2,Fev,277.9820061939225,83.0274633033381,-23.116025571182618,24.517973029225868,22.156386584834397,76.91356070802765
3,Mar,50.19040568044871,191.03320602055425,-53.29129106669062,5.018034211381695,-39.37955805333889,30.71415935847103
4,Abr,-24.094191561344193,52.39460095299554,67.44284882887331,13.531175511679733,54.279110768834684,32.71070890020782
5,Mai,58.61133460373967,201.08475571878662,-16.203150840687996,58.87141292901406,18.074764968782304,64.08782347592694
6,Jun,-11.028277723146642,18.325003644501436,-21.390811374859567,9.216873111506908,-2.9002535098243762,-1.5554931703644481
7,Jul,-3.740882345991757,-22.55078919904304,1.9248548762640105,-28.409006484240667,48.383237330799155,-0.8785171644424601
8,Ago,4.815898418022802,68.63373899784443,-34.05740838068226,-22.845017277786738,23.78362405186143,8.066167161851933
9,Set,10.55538348659578,-22.432955997734,-17.518686340344164,4.465659375344065,-17.465057845556732,-8.479131464339009
10,Out,-18.004187874739007,1.2904744930410896,-15.178591545605135,1.878417232614772,6.4799366170004955,-4.706790215537557
11,Nov,-21.797267392645946,60.7302068453421,-42.91007542669651,-16.97339507908244,58.681449316248646,7.5461836526331725
12,Dez,-5.082276159750167,64.87688214563399,21.36525029469446,-13.361191254699426,22.96267558863285,18.152268122902342
